Wall time,Step,Value
1700733284.5566766,7603,164782.8125
1700733300.2012777,7615,163564.90625
1700733315.1193428,7632,139821.625
1700733330.6525328,7651,213021.8125
1700733344.833851,7668,385119.9375
1700733359.6964304,7684,163030.46875
1700733375.1353433,7708,188185.5
1700733389.5150652,7724,155244.140625
1700733405.3744545,7741,222440.53125
1700733420.5336728,7758,283819.0
1700733435.5114589,7779,200027.0625
1700733450.0804827,7798,336748.4375
1700733464.4655924,7817,122083.8984375
1700733482.128425,7834,187385.53125
1700733494.7362335,7849,425958.75
1700733510.5049226,7867,118839.9609375
1700733527.3238246,7878,144245.109375
1700733539.8546946,7889,157509.78125
1700733554.972034,7906,234480.21875
1700733570.5272934,7925,132724.1875
1700733587.8165138,7947,149146.375
1700733599.9421155,7959,250043.4375
1700733615.4957736,7983,232440.3125
1700733629.7149827,7998,155468.125
1700733644.9059644,8016,189161.5
1700733659.6178327,8034,193431.078125
1700733676.464968,8056,183264.28125
1700733689.674741,8066,228284.8125
1700733705.213897,8079,88415.265625
1700733721.9857326,8097,122756.515625
1700733734.7631397,8110,380241.96875
1700733749.9518871,8124,113754.203125
1700733765.1140711,8147,132314.875
1700733779.719038,8160,118001.578125
1700733794.6299736,8174,233484.46875
1700733809.4649754,8197,111546.9765625
1700733824.6906846,8218,179977.6875
1700733839.7169006,8227,268492.375
1700733855.3400536,8246,116414.453125
1700733869.4736464,8264,236624.203125
1700733884.9254827,8282,116675.3359375
1700733899.889602,8297,165959.953125
1700733914.4391012,8316,121091.5234375
1700733934.7794025,8328,318371.46875
1700733944.588353,8344,172887.625
1700733959.6263945,8365,153527.84375
1700733974.6026745,8385,110862.09375
1700733991.4776714,8400,154229.96875
1700734004.9878473,8415,153426.625
1700734022.4738204,8435,123814.34375
1700734036.3178375,8446,219861.46875
1700734050.1041203,8458,166994.15625
1700734064.9064312,8476,168740.96875
1700734079.7027493,8499,207867.75
1700734096.480508,8517,189785.625
1700734111.1223543,8534,139201.78125
1700734124.8620183,8548,136724.953125
1700734140.5405216,8567,195170.96875
1700734154.652068,8588,145637.828125
1700734169.5300634,8608,158604.8125
1700734185.314,8625,145793.28125
1700734200.7381756,8641,198920.015625
1700734215.5562618,8663,214884.59375
1700734229.5349581,8681,190807.3125
1700734245.299403,8698,186827.875
1700734259.8519862,8714,154760.1875
1700734275.1555712,8730,124641.734375
1700734289.9300003,8751,218166.734375
1700734305.5167475,8771,201730.171875
1700734319.634367,8782,114960.4296875
1700734334.9580948,8801,225695.3125
1700734349.8733215,8823,217902.03125
1700734364.9676902,8840,298421.75
1700734380.199517,8858,229645.546875
1700734395.2237158,8878,114654.09375
1700734409.9117553,8896,178017.0
1700734424.537756,8912,143175.96875
1700734440.9005694,8936,137958.1875
1700734455.0476007,8947,154515.359375
1700734469.9985812,8958,344899.4375
1700734485.4016125,8979,170346.375
1700734500.077604,9000,186192.0625
1700734517.1588902,9021,111720.484375
1700734533.7514558,9026,278275.8125
1700734545.7767177,9039,155945.15625
1700734559.7035658,9054,159567.875
1700734574.8231754,9074,154286.5625
1700734589.5012536,9096,210328.15625
1700734604.7244391,9115,222687.75
1700734619.7188318,9126,178213.375
1700734634.4921043,9147,123491.5390625
1700734650.7283554,9170,153405.125
1700734664.7794878,9188,196669.53125
1700734679.706562,9206,147585.875
1700734695.4744034,9225,142791.1875
1700734710.3933256,9241,179968.40625
1700734724.8202817,9254,299619.0
1700734739.7621202,9267,310728.9375
1700734755.1421697,9286,140242.84375
1700734770.1223392,9303,181892.875
1700734784.787966,9324,194303.640625
1700734799.6627998,9341,250919.09375
1700734815.6657095,9357,289734.59375
1700734829.7477334,9374,147840.6875
1700734844.7225769,9387,120260.75
1700734860.2938507,9405,295768.40625
1700734875.7759614,9423,257317.296875
