Wall time,Step,Value
1700738902.9278572,1398,814521.875
1700738918.521709,1420,849514.0625
1700738934.750888,1436,777549.125
1700738947.2224865,1455,801791.3125
1700738961.9325416,1475,1318017.0
1700738977.292474,1492,979393.1875
1700738992.0906682,1520,798625.1875
1700739008.3889055,1539,1320156.0
1700739022.472452,1561,1840954.75
1700739037.0936463,1579,896562.6875
1700739052.74343,1601,1503137.5
1700739068.687275,1624,988764.3125
1700739082.2184403,1642,1066752.875
1700739097.7876592,1661,9648411.0
1700739112.27806,1681,994196.3125
1700739127.587655,1705,779502.375
1700739141.8578424,1727,772453.5
1700739158.3865166,1740,1604376.5
1700739173.2243056,1765,1070226.0
1700739187.0174913,1784,709926.3125
1700739202.0961223,1808,1328194.25
1700739217.7169268,1826,785803.875
1700739232.034279,1851,1347134.75
1700739246.9893966,1870,1259893.75
1700739262.2524447,1886,1135188.0
1700739277.1200585,1905,987845.0
1700739292.425632,1925,5087535.0
1700739307.1994617,1945,953092.875
1700739322.3303878,1960,1407269.5
1700739337.5344608,1984,963102.5
1700739354.9383588,2001,624698.125
1700739368.4095793,2019,1016145.5
1700739383.1360486,2033,995158.0
1700739399.4915597,2049,1371422.5
1700739413.0230036,2065,1392469.375
1700739427.2183454,2076,413742.0625
1700739443.2313664,2095,1765249.5
1700739456.9804223,2116,1637985.5
1700739472.5755045,2138,1239978.25
1700739487.3599625,2161,1334315.75
1700739502.8119233,2180,1331265.75
1700739516.9858465,2200,943993.25
1700739532.8832884,2218,806086.0
1700739546.9884405,2239,797035.25
1700739568.3566346,2262,1284927.625
1700739577.2600148,2271,901498.875
1700739593.5697627,2298,1040068.125
1700739607.4530957,2318,1441221.0
1700739621.960604,2337,606688.0
1700739637.3010395,2358,1562894.5
1700739653.501213,2383,800285.0
1700739667.9928174,2402,1434669.75
1700739682.0762749,2417,1051562.75
1700739697.1319816,2442,1157250.0
1700739712.1305711,2462,1704242.25
1700739728.3424163,2482,1009552.0
1700739742.3021173,2503,1153783.75
1700739757.721326,2517,1263556.25
1700739772.953787,2537,1571139.5
1700739787.1428688,2561,895775.0
1700739803.139655,2580,2295308.0
1700739817.1032217,2601,969055.3125
1700739832.8518913,2618,816518.4375
1700739849.5184584,2635,1750592.25
1700739863.0629847,2651,1638406.25
1700739876.941594,2674,816029.75
1700739892.614214,2689,2960483.5
1700739907.5029635,2713,665365.9375
1700739922.095042,2730,1578687.5
1700739937.6496534,2750,753181.375
1700739952.7268038,2775,1649214.125
1700739968.117349,2789,668654.875
1700739982.167548,2809,627524.875
1700739998.860504,2825,1294736.75
1700740013.0471199,2845,648497.0
1700740028.0229032,2866,1589743.0
1700740043.645006,2881,2383782.25
1700740057.8475006,2904,1059192.25
1700740072.370536,2923,1132783.5
1700740088.7968798,2935,1290787.625
1700740102.9908624,2956,704353.25
1700740117.5699115,2978,1228730.25
1700740132.3919954,2996,3260879.0
1700740148.8043983,3009,1508246.25
1700740162.129242,3028,4566102.0
1700740177.4039962,3047,1233067.0
1700740192.5371487,3069,819002.8125
1700740208.5384712,3091,1104298.0
1700740225.9010153,3112,820464.375
1700740237.762129,3122,1199215.125
1700740252.0694442,3142,1017616.8125
1700740267.2052267,3167,959202.875
1700740282.503114,3184,2511104.5
1700740296.9736102,3210,980064.4375
1700740313.7482822,3233,768918.4375
1700740327.0164115,3249,666566.25
1700740343.4393446,3266,837971.375
1700740357.5632372,3290,962884.625
1700740372.5483074,3304,1194277.375
1700740388.5729785,3324,1298231.75
1700740402.7098186,3344,583247.6875
1700740417.3265069,3359,3416204.5
1700740432.0546205,3380,1010041.3125
1700740447.255925,3401,795933.25
1700740462.9687693,3426,1694396.5
1700740477.8200185,3438,1260577.875
1700740492.8551471,3457,2173276.75
1700740506.8454201,3475,745578.25
1700740522.1556063,3495,921091.5
1700740538.274793,3519,1235836.125
1700740552.0435967,3541,976232.375
1700740567.9443054,3564,1836773.25
1700740582.0387604,3582,784880.0
1700740598.5119047,3606,1010317.375
1700740612.1759732,3623,594803.0
1700740627.02938,3640,1292363.25
1700740642.6388555,3662,820928.375
1700740659.0765064,3681,797802.75
1700740672.949082,3701,1164597.25
1700740687.2660346,3726,581776.75
1700740702.1592472,3743,1187947.625
1700740718.2127473,3759,955231.625
1700740732.695098,3778,894901.0
1700740747.153839,3796,720101.75
1700740762.596503,3818,1095299.375
1700740778.4984546,3837,706494.1875
1700740792.6388345,3858,585220.125
1700740807.0695074,3878,1649583.5
1700740823.1220338,3897,735957.25
1700740837.7963667,3920,542810.375
1700740852.331903,3934,1054686.75
1700740867.217666,3957,731072.25
1700740882.6860938,3976,1399006.25
1700740897.1053302,3991,488016.8125
1700740912.7361083,3999,1038827.0
1700740927.2754955,4022,958082.75
1700740942.0962868,4042,858385.0625
1700740957.9848666,4057,451820.1875
